S. No.,Month,2021 - Suspected,2021 - Affected,2021 - Death,2022 - Suspected,2022 - Affected,2022 - Death,2023 - Suspected,2023 - Affected,2023 - Death,2024 - Suspected,2024 - Affected,2024 - Death,2025 - Suspected,2025 - Affected,2025 - Death
1,January,53,12,0,59,15,0,149,17,0,142,25,0,317,36,0
2,February,47,12,0,26,11,0,142,28,0,135,22,0,214,32,0
3,March,35,11,0,14,2,0,111,28,0,72,11,0,297,29,0
4,April,5,2,0,22,6,0,57,8,0,75,13,0,287,34,0
5,May,9,4,0,15,5,0,80,9,0,107,33,0,177,37,0
6,June,307,40,0,43,11,0,139,26,0,542,165,1,346,25,0
7,July,840,185,0,121,23,0,348,28,0,1853,307,0,475,64,0
8,August,1232,311,0,340,99,0,930,117,0,1246,198,0,798,124,0
9,September,1591,256,0,509,139,0,1010,261,0,1153,198,0,506,67,0
10,October,805,162,0,728,146,0,1529,193,0,697,107,0,NA,NA,NA
11,November,498,92,0,756,173,0,1281,370,1,321,70,0,NA,NA,NA
12,December,222,97,0,238,47,0,490,209,2,86,23,0,NA,NA,NA
13,Total,5284,1184,0,2871,677,0,6266,1294,3,6429,1172,1,3417,419,0
